Timestamp,CPU (%),RAM (%),Disk C (%),Disk D (%),Upload (KB/s),Download (KB/s)
2026-07-24 22:01:50,28.6,86.2,87.3,32.4,0.662,0.014
2026-07-24 22:01:55,14.8,85.2,87.3,32.4,19.988,26.469
